"PROJECT_ID","SUBPROJECT_ID","RESPONSE_UID","QUESTIONNAIREEVENT_ID","QUESTION_NUMBER","QUESTION_TEXT","QUESTION_SHORT","INDICATOR","MILESTONE_ID","MILESTONE_DESC","PROGRAMTYPE_ID","PROGRAM_NAME","PROGRAM_DESC","DESIGN_TEAM","DESIGNSTRATEGY_DESC","DISTRICT","DIVISION","RESPONSE","RESPONSEVALUE","RESPONSECLASS","RESPONSECLASS_DESC"
71,77,872,187,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","DESIGN DEVIATIONS","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,872,187,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","DESIGN DEVIATIONS","Cost",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,872,187,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","DESIGN DEVIATIONS","Scope",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,874,187,15,"Does the project schedule include all standard practice design milestones?","SCHEDULED DESIGN MILESTONES","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,875,187,16,"Does the project schedule include sufficient design time to accomplish all  design related milestones?","SUFFICIENT MILESTONE TIME","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,876,187,17,"Does the project schedule include sufficient time for Quality Control (QC) and Quality Assurance (QA) reviews during all required design submittals?","QC/QA","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,876,187,17,"Does the project schedule include sufficient time for Quality Control (QC) and Quality Assurance (QA) reviews during all required design submittals?","QC/QA","QA",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,876,187,17,"Does the project schedule include sufficient time for Quality Control (QC) and Quality Assurance (QA) reviews during all required design submittals?","QC/QA","QC",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,877,187,18,"Does the project schedule include sufficient time to complete engineering investigations and surveys (e.g., cultural, geotechnical, environmental, hazardous materials, etc.) in time to adequately inform the design?","ENGINEERING INVESTIGATIONS","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,878,187,19,"Does the project schedule include sufficient time to complete permitting process(es)?","PERMITTING","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,882,187,22,"Did District Quality Control (DQC) occur prior, and not concurrent with, to the Independent Technical Review (ITR)/Agency Technical Review (ATR)/Biddability, Constructability, Operability, Environmental and Sustainability (BCOES) Review?","QUALITY REVIEW SEQUENCING","QC",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,880,187,20,"Is the current design team schedule in alignment with the project schedule in the Project Management Plan (PMP)?","PROJECT SCHEDULE","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","No",0,"Negative","Response Valued < 0.50"
71,77,884,187,24,"Have all computations gone through a rigorous Quality Control (QC) process (e.g., a ""red dot"" review)? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","RIGOROUS COMPUTATION REVIEW","QC",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,885,187,25,"Have all critical graphics/plans gone through a rigorous QC process (e.g., a ""red dot"" review)? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","RIGOROUS PLAN REVIEW","QC",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,886,187,26,"Have all specifications gone through a rigorous QC process? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","RIGOROUS SPECIFICATIONS REVIEW","QC",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","No",0,"Negative","Response Valued < 0.50"
71,77,888,187,28,"Has a Biddability, Constructability, Operability, Environmental, and Sustainability (BCOES) review been performed in compliance with the ER?","BCOES","QC",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","No",0,"Negative","Response Valued < 0.50"
71,77,890,187,31,"Does the design adequately accomplish the project scope, intent, and functional and technical objectives as defined in the current Project Management Plan (PMP)?","PROJECT SCOPE ACCOMPLISHED","Scope",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,891,187,32,"Did the deliverable meet established design milestone expectations?","DESIGN MILESTONE EXPECTATIONS","QA",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Marginal",0.5,"Marginal","Response Valued greater than or equal to 0.50 and < 0.80"
71,77,892,187,33,"Is the design maturity sufficient to generate the required Class of estimate for this milestone? (Class 3 at 35%, Class 2 at 65%, and Class 1 at 95%/100%)","CLASS OF ESTIMATE","Cost",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,893,187,34,"Does the project have a current risk register?","RISK REGISTER","QA",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,894,187,37,"Has there been turnover on your design or review team that may affect the team's ability to develop a quality product?","TURNOVER","Team",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",0,"Negative","Response Valued < 0.50"
71,77,895,187,38,"What is your level of confidence in the quality of the engineering design efforts on this project?","OVERALL CONFIDENCE","Confidence",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Somewhat High",0.75,"Marginal","Response Valued greater than or equal to 0.50 and < 0.80"
55,63,1345,247,5,"Are senior staff mentors assigned to all design team members with less than two years of professional design experience?","SENIOR STAFF MENTORS","Team",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
64,73,923,186,32,"Did the deliverable meet established design milestone expectations?","DESIGN MILESTONE EXPECTATIONS","QA",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",0,"Negative","Response Valued < 0.50"
64,73,925,186,31,"Does the design adequately accomplish the project scope, intent, and functional and technical objectives as defined in the current Project Management Plan (PMP)?","PROJECT SCOPE ACCOMPLISHED","Scope",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Marginal",0.5,"Marginal","Response Valued greater than or equal to 0.50 and < 0.80"
64,73,926,186,33,"Is the design maturity sufficient to generate the required Class of estimate for this milestone? (Class 3 at 35%, Class 2 at 65%, and Class 1 at 95%/100%)","CLASS OF ESTIMATE","Cost",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
55,63,1353,247,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","DESIGN DEVIATIONS","Schedule",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,63,1353,247,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","DESIGN DEVIATIONS","Cost",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,63,1353,247,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","DESIGN DEVIATIONS","Scope",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
64,73,929,186,5,"Are senior staff mentors assigned to all design team members with less than two years of professional design experience?","SENIOR STAFF MENTORS","Team",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
64,73,931,186,20,"Is the current design team schedule in alignment with the project schedule in the Project Management Plan (PMP)?","PROJECT SCHEDULE","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",0,"Negative","Response Valued < 0.50"
64,73,933,186,21,"Does the project have a current, approved project-specific Quality Management Plan (QMP)/Review Plan (RP)?","APPROVED QMP/RP","QA",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",0,"Negative","Response Valued < 0.50"
64,73,933,186,21,"Does the project have a current, approved project-specific Quality Management Plan (QMP)/Review Plan (RP)?","APPROVED QMP/RP","QC",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",0,"Negative","Response Valued < 0.50"
64,73,934,186,7,"Have the relevant Mandatory Centers of Expertise (MCX), Technical Centers of Expertise (TCX), and/or Centers of Standardization (COS) been identified and engaged on the project?","CENTERS OF EXPERTISE AND STANDARDIZATION","Team",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
64,73,935,186,22,"Did District Quality Control (DQC) occur prior, and not concurrent with, to the Independent Technical Review (ITR)/Agency Technical Review (ATR)/Biddability, Constructability, Operability, Environmental and Sustainability (BCOES) Review?","QUALITY REVIEW SEQUENCING","QC",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
64,73,936,186,37,"Has there been turnover on your design or review team that may affect the team's ability to develop a quality product?","TURNOVER","Team",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",1,"Positive","Response Valued > 0.8"
64,73,937,186,30,"Has the Quality Management Plan (QMP)/Review Plan (RP) been updated to respond to significant project changes?","QMP/RP UPDATE","QA",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",0,"Negative","Response Valued < 0.50"
64,73,937,186,30,"Has the Quality Management Plan (QMP)/Review Plan (RP) been updated to respond to significant project changes?","QMP/RP UPDATE","QC",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",0,"Negative","Response Valued < 0.50"
119,80,946,221,20,"Is the current design team schedule in alignment with the project schedule in the Project Management Plan (PMP)?","PROJECT SCHEDULE","Schedule",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","NAO","NAD","No",0,"Negative","Response Valued < 0.50"
119,80,949,221,24,"Have all computations gone through a rigorous Quality Control (QC) process (e.g., a ""red dot"" review)? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","RIGOROUS COMPUTATION REVIEW","QC",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","NAO","NAD","Yes",1,"Positive","Response Valued > 0.8"
119,80,959,221,32,"Did the deliverable meet established design milestone expectations?","DESIGN MILESTONE EXPECTATIONS","QA",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","NAO","NAD","Yes",1,"Positive","Response Valued > 0.8"
119,80,960,221,33,"Is the design maturity sufficient to generate the required Class of estimate for this milestone? (Class 3 at 35%, Class 2 at 65%, and Class 1 at 95%/100%)","CLASS OF ESTIMATE","Cost",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","NAO","NAD","Yes",1,"Positive","Response Valued > 0.8"
119,80,963,221,38,"What is your level of confidence in the quality of the engineering design efforts on this project?","OVERALL CONFIDENCE","Confidence",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","NAO","NAD","High",1,"Positive","Response Valued > 0.8"
62,134,1541,238,3,"Do the QA/QC review teams have all the necessary members (i.e., technical disciplines) assigned given the project scope?","REVIEW TEAM MEMBERS","Team",3,"65% (Intermediate Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVS","MVD","Yes",1,"Positive","Response Valued > 0.8"
62,134,1541,238,3,"Do the QA/QC review teams have all the necessary members (i.e., technical disciplines) assigned given the project scope?","REVIEW TEAM MEMBERS","QA",3,"65% (Intermediate Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVS","MVD","Yes",1,"Positive","Response Valued > 0.8"
62,134,1541,238,3,"Do the QA/QC review teams have all the necessary members (i.e., technical disciplines) assigned given the project scope?","REVIEW TEAM MEMBERS","QC",3,"65% (Intermediate Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVS","MVD","Yes",1,"Positive","Response Valued > 0.8"
161,113,1307,239,27,"Have all models gone through a rigorous QC process? (e.g., a ""red dot"" review, clash detection, etc.)? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","RIGOROUS MODEL REVIEW","QC",2,"35% (Concept Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
55,66,1325,246,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","DESIGN DEVIATIONS","Schedule",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,66,1325,246,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","DESIGN DEVIATIONS","Cost",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,66,1325,246,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","DESIGN DEVIATIONS","Scope",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,58,1365,248,1,"Is there an Engineering Technical Lead (TL) assigned to the project with an active professional registration (e.g., P.E., R.A., P.L.A., P.G., etc.) or waiver from the Chief of the District's Engineering Function?","ENGINEERING TECHNICAL LEADS","Team",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,58,1382,248,20,"Is the current design team schedule in alignment with the project schedule in the Project Management Plan (PMP)?","PROJECT SCHEDULE","Schedule",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","No",0,"Negative","Response Valued < 0.50"
46,40,1405,249,11,"Was the Total Project Cost Summary (TPCS) certified within the last two years?","TOTAL PROJECT COST SUMMARY","Cost",5,"100% (Corrected Final Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
46,40,1415,249,29,"Have District Quality Control (DQC), Independent Technical Review (ITR)/Agency Technical Review (ATR), and Biddability, Constructability, Operability, Environmental, and Sustainability (BCOES) certifications been completed?","REVIEW CERTIFICATIONS","QA",5,"100% (Corrected Final Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
46,40,1420,249,34,"Does the project have a current risk register?","RISK REGISTER","QA",5,"100% (Corrected Final Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,58,1477,248,8,"Have the relevant permitting authorities been identified and engaged on the project?","PERMITTING AUTHORITIES","Team",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,58,1478,248,21,"Does the project have a current, approved project-specific Quality Management Plan (QMP)/Review Plan (RP)?","APPROVED QMP/RP","QA",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,58,1478,248,21,"Does the project have a current, approved project-specific Quality Management Plan (QMP)/Review Plan (RP)?","APPROVED QMP/RP","QC",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,58,1479,248,22,"Did District Quality Control (DQC) occur prior, and not concurrent with, to the Independent Technical Review (ITR)/Agency Technical Review (ATR)/Biddability, Constructability, Operability, Environmental and Sustainability (BCOES) Review?","QUALITY REVIEW SEQUENCING","QC",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,58,1480,248,23,"Was the Quality Management Plan (QMP)/Review Plan (RP) followed for this review milestone?","QMP/RP IMPLEMENTATION","QA",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,58,1480,248,23,"Was the Quality Management Plan (QMP)/Review Plan (RP) followed for this review milestone?","QMP/RP IMPLEMENTATION","QC",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,58,1481,248,24,"Have all computations gone through a rigorous Quality Control (QC) process (e.g., a ""red dot"" review)? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","RIGOROUS COMPUTATION REVIEW","QC",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,58,1484,248,27,"Have all models gone through a rigorous QC process? (e.g., a ""red dot"" review, clash detection, etc.)? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","RIGOROUS MODEL REVIEW","QC",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,58,1485,248,28,"Has a Biddability, Constructability, Operability, Environmental, and Sustainability (BCOES) review been performed in compliance with the ER?","BCOES","QC",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","No",0,"Negative","Response Valued < 0.50"
55,58,1487,248,32,"Did the deliverable meet established design milestone expectations?","DESIGN MILESTONE EXPECTATIONS","QA",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,58,1490,248,37,"Has there been turnover on your design or review team that may affect the team's ability to develop a quality product?","TURNOVER","Team",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","No",1,"Positive","Response Valued > 0.8"
55,58,1491,248,38,"What is your level of confidence in the quality of the engineering design efforts on this project?","OVERALL CONFIDENCE","Confidence",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Somewhat High",0.75,"Marginal","Response Valued greater than or equal to 0.50 and < 0.80"
62,134,1539,238,1,"Is there an Engineering Technical Lead (TL) assigned to the project with an active professional registration (e.g., P.E., R.A., P.L.A., P.G., etc.) or waiver from the Chief of the District's Engineering Function?","ENGINEERING TECHNICAL LEADS","Team",3,"65% (Intermediate Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVS","MVD","Yes",1,"Positive","Response Valued > 0.8"
62,134,1547,238,11,"Was the Total Project Cost Summary (TPCS) certified within the last two years?","TOTAL PROJECT COST SUMMARY","Cost",3,"65% (Intermediate Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVS","MVD","Yes",1,"Positive","Response Valued > 0.8"
64,73,1537,186,26,"Have all specifications gone through a rigorous QC process? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","RIGOROUS SPECIFICATIONS REVIEW","QC",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
62,134,1549,238,13,"Have lessons learned been evaluated and incorporated into the design?","LESSONS LEARNED","Scope",3,"65% (Intermediate Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVS","MVD","Yes",1,"Positive","Response Valued > 0.8"
62,134,1555,238,20,"Is the current design team schedule in alignment with the project schedule in the Project Management Plan (PMP)?","PROJECT SCHEDULE","Schedule",3,"65% (Intermediate Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVS","MVD","No",0,"Negative","Response Valued < 0.50"
62,134,1564,238,30,"Has the Quality Management Plan (QMP)/Review Plan (RP) been updated to respond to significant project changes?","QMP/RP UPDATE","QA",3,"65% (Intermediate Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVS","MVD","Yes",1,"Positive","Response Valued > 0.8"
62,134,1564,238,30,"Has the Quality Management Plan (QMP)/Review Plan (RP) been updated to respond to significant project changes?","QMP/RP UPDATE","QC",3,"65% (Intermediate Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVS","MVD","Yes",1,"Positive","Response Valued > 0.8"
62,134,1569,238,37,"Has there been turnover on your design or review team that may affect the team's ability to develop a quality product?","TURNOVER","Team",3,"65% (Intermediate Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVS","MVD","Marginal",0.5,"Marginal","Response Valued greater than or equal to 0.50 and < 0.80"
55,62,1603,282,1,"Is there an Engineering Technical Lead (TL) assigned to the project with an active professional registration (e.g., P.E., R.A., P.L.A., P.G., etc.) or waiver from the Chief of the District's Engineering Function?","ENGINEERING TECHNICAL LEADS","Team",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,62,1604,282,2,"Does the design team have all the necessary members (i.e., technical disciplines) assigned given the project scope?","DESIGN TEAM MEMBERS","Team",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
