"PROJECT_ID","PROJECT_NAME","SUBPROJECT_ID","SUBPROJECT_NAME","RESPONSE_UID","QUESTIONNAIREEVENT_ID","QUESTION_NUMBER","QUESTION_TEXT","INDICATOR","MILESTONE_ID","MILESTONE_DESC","PROGRAMTYPE_ID","PROGRAM_NAME","PROGRAM_DESC","DESIGN_TEAM","DESIGNSTRATEGY_DESC","DISTRICT","DIVISION","RESPONSE","RESPONSEVALUE","RESPONSECLASS","RESPONSECLASS_DESC"
55,"Morganza to the Gulf, LA (Hurricane Protection)",63,"MTG09 WP 403166 - Shell Canal Floodgate P&S",1353,247,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","Scope",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",929,186,5,"Are senior staff mentors assigned to all design team members with less than two years of professional design experience?","Team",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",931,186,20,"Is the current design team schedule in alignment with the project schedule in the Project Management Plan (PMP)?","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",0,"Negative","Response Valued < 0.50"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",933,186,21,"Does the project have a current, approved project-specific Quality Management Plan (QMP)/Review Plan (RP)?","QA",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",0,"Negative","Response Valued < 0.50"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",933,186,21,"Does the project have a current, approved project-specific Quality Management Plan (QMP)/Review Plan (RP)?","QC",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",0,"Negative","Response Valued < 0.50"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",934,186,7,"Have the relevant Mandatory Centers of Expertise (MCX), Technical Centers of Expertise (TCX), and/or Centers of Standardization (COS) been identified and engaged on the project?","Team",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",935,186,22,"Did District Quality Control (DQC) occur prior, and not concurrent with, to the Independent Technical Review (ITR)/Agency Technical Review (ATR)/Biddability, Constructability, Operability, Environmental and Sustainability (BCOES) Review?","QC",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",936,186,37,"Has there been turnover on your design or review team that may affect the team's ability to develop a quality product?","Team",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",1,"Positive","Response Valued > 0.8"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",937,186,30,"Has the Quality Management Plan (QMP)/Review Plan (RP) been updated to respond to significant project changes?","QA",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",0,"Negative","Response Valued < 0.50"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",937,186,30,"Has the Quality Management Plan (QMP)/Review Plan (RP) been updated to respond to significant project changes?","QC",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",0,"Negative","Response Valued < 0.50"
119,"F-22 Dormitory",80,"Design",946,221,20,"Is the current design team schedule in alignment with the project schedule in the Project Management Plan (PMP)?","Schedule",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","NAO","NAD","No",0,"Negative","Response Valued < 0.50"
119,"F-22 Dormitory",80,"Design",949,221,24,"Have all computations gone through a rigorous Quality Control (QC) process (e.g., a ""red dot"" review)? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","QC",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","NAO","NAD","Yes",1,"Positive","Response Valued > 0.8"
119,"F-22 Dormitory",80,"Design",959,221,32,"Did the deliverable meet established design milestone expectations?","QA",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","NAO","NAD","Yes",1,"Positive","Response Valued > 0.8"
119,"F-22 Dormitory",80,"Design",960,221,33,"Is the design maturity sufficient to generate the required Class of estimate for this milestone? (Class 3 at 35%, Class 2 at 65%, and Class 1 at 95%/100%)","Cost",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","NAO","NAD","Yes",1,"Positive","Response Valued > 0.8"
119,"F-22 Dormitory",80,"Design",963,221,38,"What is your level of confidence in the quality of the engineering design efforts on this project?","Confidence",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","NAO","NAD","High",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",66,"MTG43 WP 410969 - Bayou Terrebonne Barge Gate & HWY 55 Road Gate P&S",1325,246,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","Schedule",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",66,"MTG43 WP 410969 - Bayou Terrebonne Barge Gate & HWY 55 Road Gate P&S",1325,246,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","Cost",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",66,"MTG43 WP 410969 - Bayou Terrebonne Barge Gate & HWY 55 Road Gate P&S",1325,246,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","Scope",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1365,248,1,"Is there an Engineering Technical Lead (TL) assigned to the project with an active professional registration (e.g., P.E., R.A., P.L.A., P.G., etc.) or waiver from the Chief of the District's Engineering Function?","Team",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1382,248,20,"Is the current design team schedule in alignment with the project schedule in the Project Management Plan (PMP)?","Schedule",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","No",0,"Negative","Response Valued < 0.50"
46,"West Shore Lake Pontchartrain, LA (Hurricane Protection)",40,"WSLP-114 Major Pump Stations and Drainage Structures",1405,249,11,"Was the Total Project Cost Summary (TPCS) certified within the last two years?","Cost",5,"100% (Corrected Final Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
46,"West Shore Lake Pontchartrain, LA (Hurricane Protection)",40,"WSLP-114 Major Pump Stations and Drainage Structures",1415,249,29,"Have District Quality Control (DQC), Independent Technical Review (ITR)/Agency Technical Review (ATR), and Biddability, Constructability, Operability, Environmental, and Sustainability (BCOES) certifications been completed?","QA",5,"100% (Corrected Final Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
46,"West Shore Lake Pontchartrain, LA (Hurricane Protection)",40,"WSLP-114 Major Pump Stations and Drainage Structures",1420,249,34,"Does the project have a current risk register?","QA",5,"100% (Corrected Final Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1477,248,8,"Have the relevant permitting authorities been identified and engaged on the project?","Team",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1478,248,21,"Does the project have a current, approved project-specific Quality Management Plan (QMP)/Review Plan (RP)?","QA",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1478,248,21,"Does the project have a current, approved project-specific Quality Management Plan (QMP)/Review Plan (RP)?","QC",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1479,248,22,"Did District Quality Control (DQC) occur prior, and not concurrent with, to the Independent Technical Review (ITR)/Agency Technical Review (ATR)/Biddability, Constructability, Operability, Environmental and Sustainability (BCOES) Review?","QC",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1480,248,23,"Was the Quality Management Plan (QMP)/Review Plan (RP) followed for this review milestone?","QA",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1480,248,23,"Was the Quality Management Plan (QMP)/Review Plan (RP) followed for this review milestone?","QC",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1481,248,24,"Have all computations gone through a rigorous Quality Control (QC) process (e.g., a ""red dot"" review)? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","QC",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1484,248,27,"Have all models gone through a rigorous QC process? (e.g., a ""red dot"" review, clash detection, etc.)? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","QC",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1485,248,28,"Has a Biddability, Constructability, Operability, Environmental, and Sustainability (BCOES) review been performed in compliance with the ER?","QC",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","No",0,"Negative","Response Valued < 0.50"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1487,248,32,"Did the deliverable meet established design milestone expectations?","QA",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1490,248,37,"Has there been turnover on your design or review team that may affect the team's ability to develop a quality product?","Team",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","No",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",58,"MTG05 WP 333487 - GIWW East Floodgate P&S",1491,248,38,"What is your level of confidence in the quality of the engineering design efforts on this project?","Confidence",2,"35% (Concept Design)","2","CW","Civil Works","In-House","Design-Bid-Build","MVN","MVD","Somewhat High",0.75,"Marginal","Response Valued greater than or equal to 0.50 and < 0.80"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",1537,186,26,"Have all specifications gone through a rigorous QC process? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","QC",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1603,282,1,"Is there an Engineering Technical Lead (TL) assigned to the project with an active professional registration (e.g., P.E., R.A., P.L.A., P.G., etc.) or waiver from the Chief of the District's Engineering Function?","Team",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1604,282,2,"Does the design team have all the necessary members (i.e., technical disciplines) assigned given the project scope?","Team",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1605,282,3,"Do the QA/QC review teams have all the necessary members (i.e., technical disciplines) assigned given the project scope?","Team",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1605,282,3,"Do the QA/QC review teams have all the necessary members (i.e., technical disciplines) assigned given the project scope?","QA",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1605,282,3,"Do the QA/QC review teams have all the necessary members (i.e., technical disciplines) assigned given the project scope?","QC",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1606,282,4,"Does the design team have sufficient relevant design experience with projects of similar scope and complexity?","Team",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1608,282,8,"Have the relevant permitting authorities been identified and engaged on the project?","Team",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","No",0,"Negative","Response Valued < 0.50"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1609,282,37,"Has there been turnover on your design or review team that may affect the team's ability to develop a quality product?","Team",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","No",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1610,282,28,"Has a Biddability, Constructability, Operability, Environmental, and Sustainability (BCOES) review been performed in compliance with the ER?","QC",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","No",0,"Negative","Response Valued < 0.50"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1612,282,5,"Are senior staff mentors assigned to all design team members with less than two years of professional design experience?","Team",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1616,282,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","Schedule",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1616,282,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","Cost",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1616,282,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","Scope",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1617,282,15,"Does the project schedule include all standard practice design milestones?","Schedule",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1619,282,17,"Does the project schedule include sufficient time for Quality Control (QC) and Quality Assurance (QA) reviews during all required design submittals?","Schedule",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1619,282,17,"Does the project schedule include sufficient time for Quality Control (QC) and Quality Assurance (QA) reviews during all required design submittals?","QA",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1619,282,17,"Does the project schedule include sufficient time for Quality Control (QC) and Quality Assurance (QA) reviews during all required design submittals?","QC",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1620,282,18,"Does the project schedule include sufficient time to complete engineering investigations and surveys (e.g., cultural, geotechnical, environmental, hazardous materials, etc.) in time to adequately inform the design?","Schedule",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1621,282,19,"Does the project schedule include sufficient time to complete permitting process(es)?","Schedule",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1622,282,20,"Is the current design team schedule in alignment with the project schedule in the Project Management Plan (PMP)?","Schedule",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1623,282,21,"Does the project have a current, approved project-specific Quality Management Plan (QMP)/Review Plan (RP)?","QA",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1623,282,21,"Does the project have a current, approved project-specific Quality Management Plan (QMP)/Review Plan (RP)?","QC",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1624,282,22,"Did District Quality Control (DQC) occur prior, and not concurrent with, to the Independent Technical Review (ITR)/Agency Technical Review (ATR)/Biddability, Constructability, Operability, Environmental and Sustainability (BCOES) Review?","QC",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1625,282,23,"Was the Quality Management Plan (QMP)/Review Plan (RP) followed for this review milestone?","QA",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1625,282,23,"Was the Quality Management Plan (QMP)/Review Plan (RP) followed for this review milestone?","QC",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",62,"MTG08 WP 403166 - Reach J-2 P&S",1626,282,24,"Have all computations gone through a rigorous Quality Control (QC) process (e.g., a ""red dot"" review)? (Note: For A-E work, it is incumbent upon the Technical Lead (TL) to ensure the A-E has performed this level of review.)","QC",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
